knot,p,q,Ord,Ordv_pq,Result
K10a103,2,23,1,2,False
K10a104,2,15,1,3,True
K10a104,2,17,1,3,True
K10a104,2,19,1,3,True
K10a104,2,21,1,3,True
K10a104,2,23,1,3,True
K10a105,2,11,1,2,False
K10a105,2,13,1,2,False
K10a105,2,15,1,2,False
K10a105,2,17,1,2,False
K10a105,2,19,1,2,False
K10a106,2,15,1,2,False
K10a106,2,17,1,2,False
K10a106,2,19,1,2,False
K10a106,2,21,1,2,False
K10a106,2,23,1,2,False
K10a107,2,15,1,2,False
K10a107,2,17,1,2,False
K10a107,2,19,1,2,False
K10a107,2,21,1,2,False
K10a107,2,23,1,2,False
K10a108,2,11,1,3,True
K10a108,2,13,1,3,True
K10a108,2,15,1,3,True
K10a108,2,17,1,3,True
K10a108,2,19,1,3,True
K10a109,2,7,1,2,False
K10a109,2,9,1,2,False
K10a109,2,11,1,2,False
K10a109,2,13,1,2,False
K10a109,2,15,1,2,False
K10a110,2,15,1,3,True
K10a110,2,17,1,3,True
K10a110,2,19,1,3,True
K10a110,2,21,1,3,True
K10a110,2,23,1,3,True
K10a111,2,11,1,2,False
K10a111,2,13,1,2,False
K10a111,2,15,1,2,False
K10a111,2,17,1,2,False
K10a111,2,19,1,2,False
K10a112,2,11,1,2,False
K10a112,2,13,1,2,False
K10a112,2,15,1,2,False
K10a112,2,17,1,2,False
K10a112,2,19,1,2,False
K10a113,2,7,1,2,False
K10a113,2,9,1,2,False
K10a113,2,11,1,2,False
K10a113,2,13,1,2,False
K10a113,2,15,1,2,False
K10a114,2,11,1,3,True
K10a114,2,13,1,3,True
K10a114,2,15,1,3,True
K10a114,2,17,1,3,True
K10a114,2,19,1,3,True
K10a115,2,7,1,3,True
K10a115,2,9,1,3,True
K10a115,2,11,1,3,True
K10a115,2,13,1,3,True
K10a115,2,15,1,3,True
K10a116,2,7,1,3,True
K10a116,2,9,1,3,True
K10a116,2,11,1,3,True
K10a116,2,13,1,3,True
K10a116,2,15,1,3,True
K10a117,2,3,1,2,False
K10a117,2,5,1,2,False
K10a117,2,7,1,2,False
K10a117,2,9,1,2,False
K10a117,2,11,1,2,False
K10a118,2,15,1,2,False
K10a118,2,17,1,2,False
K10a118,2,19,1,2,False
K10a118,2,21,1,2,False
K10a118,2,23,1,2,False
K10a119,2,11,1,3,True
K10a119,2,13,1,3,True
K10a119,2,15,1,3,True
K10a119,2,17,1,3,True
K10a119,2,19,1,3,True
K10a120,2,15,1,2,False
K10a120,2,17,1,2,False
K10a120,2,19,1,2,False
K10a120,2,21,1,2,False
K10a120,2,23,1,2,False
K10a121,2,15,1,2,False
K10a121,2,17,1,2,False
K10a121,2,19,1,2,False
K10a121,2,21,1,2,False
K10a121,2,23,1,2,False
K10a122,2,15,1,3,True
K10a122,2,17,1,3,True
K10a122,2,19,1,3,True
K10a122,2,21,1,3,True
K10a122,2,23,1,3,True
K10a123,2,11,1,3,True
K10a123,2,13,1,3,True
K10a123,2,15,1,3,True
K10a123,2,17,1,3,True
K10a123,2,19,1,3,True
K10n1,2,11,1,3,True
K10n1,2,13,1,3,True
K10n1,2,15,1,3,True
K10n1,2,17,1,3,True
K10n1,2,19,1,3,True
K10n2,2,7,1,2,False
K10n2,2,9,1,2,False
K10n2,2,11,1,2,False
K10n2,2,13,1,2,False
K10n2,2,15,1,2,False
K10n3,2,7,1,2,False
K10n3,2,9,1,2,False
K10n3,2,11,1,2,False
K10n3,2,13,1,2,False
K10n3,2,15,1,2,False
K10n4,2,7,1,3,True
K10n4,2,9,1,3,True
K10n4,2,11,1,3,True
K10n4,2,13,1,3,True
K10n4,2,15,1,3,True
K10n5,2,7,1,2,False
K10n5,2,9,1,2,False
K10n5,2,11,1,2,False
K10n5,2,13,1,2,False
K10n5,2,15,1,2,False
K10n6,2,11,1,3,True
K10n6,2,13,1,3,True
K10n6,2,15,1,3,True
K10n6,2,17,1,3,True
K10n6,2,19,1,3,True
K10n7,2,11,2,5,True
K10n7,2,13,2,5,True
K10n7,2,15,2,5,True
K10n7,2,17,2,5,True
K10n7,2,19,2,5,True
K10n8,2,11,1,2,False
K10n8,2,13,1,2,False
K10n8,2,15,1,2,False
K10n8,2,17,1,2,False
K10n8,2,19,1,2,False
K10n9,2,11,1,3,True
K10n9,2,13,1,3,True
K10n9,2,15,1,3,True
K10n9,2,17,1,3,True
K10n9,2,19,1,3,True
K10n10,2,11,1,2,False
K10n10,2,13,1,2,False
K10n10,2,15,1,2,False
K10n10,2,17,1,2,False
K10n10,2,19,1,2,False
K10n11,2,11,1,3,True
K10n11,2,13,1,3,True
K10n11,2,15,1,3,True
K10n11,2,17,1,3,True
K10n11,2,19,1,3,True
K10n12,2,11,1,2,False
K10n12,2,13,1,2,False
K10n12,2,15,1,2,False
K10n12,2,17,1,2,False
K10n12,2,19,1,2,False
K10n13,2,7,1,2,False
K10n13,2,9,1,2,False
K10n13,2,11,1,2,False
K10n13,2,13,1,2,False
K10n13,2,15,1,2,False
K10n14,2,7,1,3,True
K10n14,2,9,1,3,True
K10n14,2,11,1,3,True
K10n14,2,13,1,3,True
K10n14,2,15,1,3,True
K10n15,2,11,1,2,False
K10n15,2,13,1,2,False
K10n15,2,15,1,2,False
K10n15,2,17,1,2,False
K10n15,2,19,1,2,False
K10n16,2,11,1,3,True
K10n16,2,13,1,3,True
K10n16,2,15,1,3,True
K10n16,2,17,1,3,True
K10n16,2,19,1,3,True
K10n17,2,11,1,2,False
K10n17,2,13,1,2,False
K10n17,2,15,1,2,False
K10n17,2,17,1,2,False
K10n17,2,19,1,2,False
K10n18,2,7,1,2,False
K10n18,2,9,1,2,False
K10n18,2,11,1,2,False
K10n18,2,13,1,2,False
K10n18,2,15,1,2,False
K10n19,2,7,1,3,True
K10n19,2,9,1,3,True
K10n19,2,11,1,3,True
K10n19,2,13,1,3,True
K10n19,2,15,1,3,True
K10n20,2,7,1,2,False
K10n20,2,9,1,2,False
K10n20,2,11,1,2,False
K10n20,2,13,1,2,False
K10n20,2,15,1,2,False
K10n22,2,11,2,5,True
K10n22,2,13,2,5,True
K10n22,2,15,2,5,True
K10n22,2,17,2,5,True
K10n22,2,19,2,5,True
K10n23,2,7,1,2,False
K10n23,2,9,1,2,False
K10n23,2,11,1,2,False
K10n23,2,13,1,2,False
K10n23,2,15,1,2,False
K10n24,2,7,1,3,True
K10n24,2,9,1,3,True
K10n24,2,11,1,3,True
K10n24,2,13,1,3,True
K10n24,2,15,1,3,True
K10n25,2,11,1,2,False
K10n25,2,13,1,2,False
K10n25,2,15,1,2,False
K10n25,2,17,1,2,False
K10n25,2,19,1,2,False
K10n26,2,11,1,2,False
K10n26,2,13,1,2,False
K10n26,2,15,1,2,False
K10n26,2,17,1,2,False
K10n26,2,19,1,2,False
K10n27,2,15,2,5,True
K10n27,2,17,2,5,True
K10n27,2,19,2,5,True
K10n27,2,21,2,5,True
K10n27,2,23,2,5,True
K10n28,2,7,1,3,True
K10n28,2,9,1,3,True
K10n28,2,11,1,3,True
K10n28,2,13,1,3,True
K10n28,2,15,1,3,True
K10n29,2,7,1,2,False
K10n29,2,9,1,2,False
K10n29,2,11,1,2,False
K10n29,2,13,1,2,False
K10n29,2,15,1,2,False
K10n30,2,11,1,3,True
K10n30,2,13,1,3,True
K10n30,2,15,1,3,True
K10n30,2,17,1,3,True
K10n30,2,19,1,3,True
K10n31,2,11,2,5,True
K10n31,2,13,2,5,True
K10n31,2,15,2,5,True
K10n31,2,17,2,5,True
K10n31,2,19,2,5,True
K10n32,2,11,1,2,False
K10n32,2,13,1,2,False
K10n32,2,15,1,2,False
K10n32,2,17,1,2,False
K10n32,2,19,1,2,False
K10n33,2,11,1,3,True
K10n33,2,13,1,3,True
K10n33,2,15,1,3,True
K10n33,2,17,1,3,True
K10n33,2,19,1,3,True
K10n34,2,11,1,3,True
K10n34,2,13,1,3,True
K10n34,2,15,1,3,True
K10n34,2,17,1,3,True
K10n34,2,19,1,3,True
K10n35,2,11,1,3,True
K10n35,2,13,1,3,True
K10n35,2,15,1,3,True
K10n35,2,17,1,3,True
K10n35,2,19,1,3,True
K10n36,2,15,2,5,True
K10n36,2,17,2,5,True
K10n36,2,19,2,5,True
K10n36,2,21,2,5,True
K10n36,2,23,2,5,True
K10n37,2,7,1,2,False
K10n37,2,9,1,2,False
K10n37,2,11,1,2,False
K10n37,2,13,1,2,False
K10n37,2,15,1,2,False
K10n38,2,7,1,2,False
K10n38,2,9,1,2,False
K10n38,2,11,1,2,False
K10n38,2,13,1,2,False
K10n38,2,15,1,2,False
K10n39,2,11,1,2,False
K10n39,2,13,1,2,False
K10n39,2,15,1,2,False
K10n39,2,17,1,2,False
K10n39,2,19,1,2,False
K10n40,2,7,1,2,False
K10n40,2,9,1,2,False
K10n40,2,11,1,2,False
K10n40,2,13,1,2,False
K10n40,2,15,1,2,False
K10n41,2,11,1,2,False
K10n41,2,13,1,2,False
K10n41,2,15,1,2,False
K10n41,2,17,1,2,False
K10n41,2,19,1,2,False
K10n42,2,11,1,3,True
K10n42,2,13,1,3,True
K10n42,2,15,1,3,True
K10n42,2,17,1,3,True
K10n42,2,19,1,3,True
K11a1,2,11,1,3,True
K11a1,2,13,1,3,True
K11a1,2,15,1,3,True
K11a1,2,17,1,3,True
