Name,Genus-3D,L-space
11a_132,3,No
11a_133,2,No
11a_134,3,No
11a_135,3,No
11a_136,3,No
11a_137,3,No
11a_138,3,No
11a_139,4,No
11a_140,3,No
11a_141,3,No
11a_142,4,No
11a_143,3,No
11a_144,3,No
11a_145,2,No
11a_146,4,No
11a_147,4,No
11a_148,2,No
11a_149,3,No
11a_150,3,No
11a_151,4,No
11a_152,3,No
11a_153,3,No
11a_154,2,No
11a_155,3,No
11a_156,4,No
11a_157,4,No
11a_158,4,No
11a_159,3,No
11a_160,4,No
11a_161,3,No
11a_162,4,No
11a_163,4,No
11a_164,4,No
11a_165,3,No
11a_166,2,No
11a_167,3,No
11a_168,3,No
11a_169,3,No
11a_170,4,No
11a_171,4,No
11a_172,3,No
11a_173,3,No
11a_174,4,No
11a_175,4,No
11a_176,4,No
11a_177,4,No
11a_178,3,No
11a_179,4,No
11a_180,4,No
11a_181,3,No
11a_182,4,No
11a_183,3,No
11a_184,4,No
11a_185,3,No
11a_186,3,No
11a_187,3,No
11a_188,3,No
11a_189,4,No
11a_190,3,No
11a_191,3,No
11a_192,2,No
11a_193,3,No
11a_194,4,No
11a_195,2,No
11a_196,4,No
11a_197,3,No
11a_198,3,No
11a_199,3,No
11a_200,2,No
11a_201,2,No
11a_202,3,No
11a_203,4,No
11a_204,3,No
11a_205,3,No
11a_206,4,No
11a_207,3,No
11a_208,3,No
11a_209,3,No
11a_210,2,No
11a_211,2,No
11a_212,3,No
11a_213,3,No
11a_214,2,No
11a_215,4,No
11a_216,4,No
11a_217,4,No
11a_218,3,No
11a_219,2,No
11a_220,3,No
11a_221,4,No
11a_222,3,No
11a_223,4,No
11a_224,3,No
11a_225,3,No
11a_226,2,No
11a_227,3,No
11a_228,3,No
11a_229,2,No
11a_230,2,No
11a_231,4,No
11a_232,4,No
11a_233,4,No
11a_234,4,No
11a_235,3,No
11a_236,3,No
11a_237,2,No
11a_238,2,No
11a_239,4,No
11a_240,4,No
11a_241,3,No
11a_242,3,No
11a_243,2,No
11a_244,3,No
11a_245,3,No
11a_246,2,No
11a_247,1,No
11a_248,4,No
11a_249,3,No
11a_250,4,No
11a_251,4,No
11a_252,4,No
11a_253,4,No
11a_254,4,No
11a_255,4,No
11a_256,3,No
11a_257,4,No
11a_258,3,No
11a_259,4,No
11a_260,3,No
11a_261,4,No
11a_262,3,No
11a_263,4,No
11a_264,4,No
11a_265,3,No
11a_266,4,No
11a_267,4,No
11a_268,4,No
11a_269,4,No
11a_270,3,No
11a_271,3,No
11a_272,3,No
11a_273,3,No
11a_274,4,No
11a_275,3,No
11a_276,3,No
11a_277,4,No
11a_278,3,No
11a_279,3,No
11a_280,2,No
11a_281,4,No
11a_282,4,No
11a_283,3,No
11a_284,4,No
11a_285,3,No
11a_286,4,No
11a_287,4,No
11a_288,4,No
11a_289,4,No
11a_290,3,No
11a_291,3,No
11a_292,2,No
11a_293,4,No
11a_294,3,No
11a_295,3,No
11a_296,2,No
11a_297,3,No
11a_298,3,No
11a_299,2,No
11a_300,4,No
11a_301,4,No
11a_302,4,No
11a_303,3,No
11a_304,3,No
11a_305,4,No
11a_306,4,No
11a_307,3,No
11a_308,4,No
11a_309,3,No
11a_310,3,No
11a_311,2,No
11a_312,3,No
11a_313,2,No
11a_314,4,No
11a_315,4,No
11a_316,4,No
11a_317,3,No
11a_318,3,No
11a_319,3,No
11a_320,2,No
11a_321,3,No
11a_322,3,No
11a_323,3,No
11a_324,2,No
11a_325,2,No
11a_326,4,No
11a_327,3,No
11a_328,3,No
11a_329,2,No
11a_330,4,No
11a_331,3,No
11a_332,4,No
11a_333,2,No
11a_334,4,No
11a_335,3,No
11a_336,3,No
11a_337,2,No
11a_338,4,No
11a_339,3,No
11a_340,3,No
11a_341,2,No
11a_342,2,No
11a_343,1,No
11a_344,3,No
11a_345,2,No
11a_346,4,No
11a_347,3,No
11a_348,4,No
11a_349,3,No
11a_350,4,No
11a_351,4,No
11a_352,3,No
11a_353,3,No
11a_354,2,No
11a_355,4,No
11a_356,3,No
11a_357,3,No
11a_358,3,No
11a_359,2,No
11a_360,2,No
11a_361,2,No
11a_362,1,No
11a_363,1,No
11a_364,4,No
11a_365,3,No
11a_366,2,No
11a_367,5,Yes
11n_1,2,No
11n_2,3,No
11n_3,2,No
11n_4,3,No
11n_5,3,No
11n_6,3,No
11n_7,3,No
11n_8,3,No
11n_9,4,No
11n_10,3,No
11n_11,3,No
11n_12,2,No
11n_13,4,No
11n_14,3,No
11n_15,3,No
11n_16,3,No
11n_17,2,No
11n_18,2,No
11n_19,3,No
11n_20,2,No
11n_21,3,No
11n_22,3,No
11n_23,4,No
11n_24,3,No
11n_25,3,No
11n_26,3,No
11n_27,4,No
11n_28,2,No
11n_29,2,No
11n_30,3,No
11n_31,3,No
11n_32,3,No
11n_33,3,No
11n_34,3,No
11n_35,3,No
11n_36,4,No
11n_37,3,No
11n_38,2,No
11n_39,2,No
11n_40,3,No
11n_41,4,No
11n_42,2,No
11n_43,3,No
11n_44,4,No
11n_45,3,No
11n_46,3,No
11n_47,4,No
11n_48,3,No
11n_49,2,No
11n_50,2,No
11n_51,3,No
11n_52,3,No
11n_53,3,No
11n_54,3,No
11n_55,3,No
11n_56,3,No
11n_57,4,No
11n_58,3,No
11n_59,3,No
11n_60,4,No
11n_61,4,No
11n_62,2,No
11n_63,2,No
11n_64,3,No
11n_65,2,No
11n_66,3,No
11n_67,2,No
11n_68,2,No
11n_69,3,No
11n_70,3,No
11n_71,3,No
11n_72,3,No
11n_73,3,No
11n_74,2,No
11n_75,3,No
11n_76,4,No
11n_77,4,No
11n_78,4,No
11n_79,2,No
11n_80,3,No
11n_81,4,No
11n_82,3,No
11n_83,2,No
11n_84,2,No
11n_85,3,No
11n_86,3,No
11n_87,3,No
11n_88,4,No
11n_89,3,No
11n_90,3,No
11n_91,2,No
11n_92,3,No
11n_93,3,No
11n_94,3,No
11n_95,3,No
11n_96,3,No
11n_97,2,No
11n_98,3,No
11n_99,2,No
11n_100,2,No
11n_101,2,No
11n_102,2,No
11n_103,3,No
11n_104,4,No
11n_105,3,No
11n_106,3,No
11n_107,4,No
11n_108,3,No
11n_109,3,No
11n_110,3,No
11n_111,3,No
11n_112,3,No
11n_113,2,No
11n_114,2,No
11n_115,3,No
11n_116,2,No
11n_117,2,No
11n_118,3,No
11n_119,3,No
11n_120,4,No
11n_121,3,No
11n_122,2,No
11n_123,2,No
11n_124,3,No
11n_125,3,No
11n_126,3,No
11n_127,3,No
11n_128,3,No
11n_129,3,No
11n_130,3,No
11n_131,3,No
